ID,2,,,,,,,,,,,,#,,,,,,
Name,Level Two,c,c,c,c,c,,,,,,,#,p,,,G,,
Music,02-clearly-the-bad-guys,-,-,-,-,#,,,,,,c,#,#,#,#,#,,
Upgrades,,,,,,|,,,,,,,,,,,|,,
,,,,,,|,,,,,,,,,,,|,,
,,,c,c,,|,,,,,,,,,,,|,,
,,,#,#,#,#,,,,c,,,c,,,,|,,
,,,,,,|,,,,#,#,#,#,#,,,|,,
,,,,,,|,,,,#,c,,,,,,|,,
,,#,c,c,,|,,,,#,,,,,,#,#,,
,,#,#,#,,|,,,,#,,,,,,,|,,
,,,,,,|,,,,#,,,,,,,|,,D
,,,,,,#,#,#,#,#,#,#,#,#,#,#,#,#,#
,,,c,c,#,#,,,,c,c,,,,#,c,,,
,,,#,#,#,#,,,,,,,,,#,,,,g
,,,,,,#,c,,,,,,,c,#,,,,#
,,,,,,,,,,,,,,,|,,,,
,,#,,,,,,,,,,,,,|,,,,
